Photo,Agtron
Lot1_Photo1.jpg,66.7
Lot2_Photo1.jpg,75.1
Lot3_Photo1.jpg,54.8
Lot3_Photo2.jpg,54.8
Lot3_Photo3.jpg,54.8
Lot4_Photo1.jpg,65.7
Lot4_Photo2.jpg,65.7
Lot4_Photo3.jpg,65.7
Lot5_Photo1.jpg,65
Lot5_Photo2.jpg,65
Lot5_Photo3.jpg,65
Lot5_Photo4.jpg,65
Lot6_Photo1.jpg,55.3
Lot6_Photo2.jpg,55.3
Lot6_Photo3.jpg,55.3
Lot7_Photo1.jpg,62.9
Lot7_Photo2.jpg,62.9
Lot7_Photo3.jpg,62.9
Lot8_Photo1.jpg,71.6
Lot8_Photo2.jpg,71.6
Lot8_Photo3.jpg,71.6
Lot9_Photo1.jpg,87.7
Lot9_Photo2.jpg,87.7
Lot9_Photo3.jpg,87.7
Lot10_Photo1.jpg,67.1
Lot10_Photo2.jpg,67.1
Lot10_Photo3.jpg,67.1
Lot10_Photo4.jpg,67.1
Lot11_Photo1.jpg,68.6
Lot11_Photo2.jpg,68.6
Lot11_Photo3.jpg,68.6
Lot11_Photo4.jpg,68.6
Lot11_Photo5.jpg,68.6
Lot12_Photo1.jpg,75.2
Lot12_Photo2.jpg,75.2
Lot12_Photo3.jpg,75.2
Lot12_Photo4.jpg,75.2
Lot13_Photo1.jpg,65.6
Lot13_Photo2.jpg,65.6
Lot13_Photo3.jpg,65.6
Lot13_Photo4.jpg,65.6
Lot14_Photo1.jpg,59.6
Lot14_Photo2.jpg,59.6
Lot14_Photo3.jpg,59.6
Lot14_Photo4.jpg,59.6
Lot15_Photo1.jpg,61.5
Lot15_Photo2.jpg,61.5
Lot15_Photo3.jpg,61.5
Lot15_Photo4.jpg,61.5
Lot16_Photo1.jpg,67.2
Lot16_Photo2.jpg,67.2
Lot16_Photo3.jpg,67.2
Lot16_Photo4.jpg,67.2
Lot17_Photo1.jpg,54.3
Lot17_Photo2.jpg,54.3
Lot17_Photo3.jpg,54.3
Lot17_Photo4.jpg,54.3
